id	admit	gre	rank	gpa
327	0	680	2	3.3099999
328	1	560	2	3.48
329	0	580	2	3.3399999
330	0	500	4	2.9300001
331	0	740	3	4
332	0	660	3	3.5899999
333	0	420	1	2.96
334	0	560	3	3.4300001
335	1	460	3	3.6400001
336	1	620	1	3.71
337	0	520	3	3.1500001
338	0	620	4	3.0899999
339	0	540	1	3.2
340	1	660	3	3.47
341	0	500	4	3.23
342	1	560	3	2.6500001
343	0	500	4	3.95
344	0	580	2	3.0599999
345	0	520	3	3.3499999
346	0	500	3	3.03
347	0	600	2	3.3499999
348	0	580	2	3.8
349	0	400	2	3.3599999
350	0	620	2	2.8499999
351	1	780	2	4
352	0	620	3	3.4300001
353	1	580	3	3.1199999
354	0	700	2	3.52
355	1	540	2	3.78
356	1	760	1	2.8099999
357	0	700	2	3.27
358	0	720	1	3.3099999
359	1	560	3	3.6900001
360	0	720	3	3.9400001
361	1	520	1	4
362	1	540	1	3.49
363	0	680	2	3.1400001
364	0	460	2	3.4400001
365	1	560	1	3.3599999
366	0	480	3	2.78
367	0	460	3	2.9300001
368	0	620	3	3.6300001
369	0	580	1	4
370	0	800	2	3.8900001
371	1	540	2	3.77
372	1	680	3	3.76
373	1	680	1	2.4200001
374	1	620	1	3.3699999
375	0	560	2	3.78
376	0	560	4	3.49
377	0	620	2	3.6300001
378	1	800	2	4
379	0	640	3	3.1199999
380	0	540	2	2.7
381	0	700	2	3.6500001
382	1	540	2	3.49
383	0	540	2	3.51
384	0	660	1	4
385	1	480	2	2.6199999
386	0	420	1	3.02
387	1	740	2	3.8599999
388	0	580	2	3.3599999
389	0	640	2	3.1700001
390	0	640	2	3.51
391	1	800	2	3.05
392	1	660	2	3.8800001
393	1	600	3	3.3800001
394	1	620	2	3.75
395	1	460	3	3.99
396	0	620	2	4
397	0	560	3	3.04
398	0	460	2	2.6300001
399	0	700	2	3.6500001
400	0	600	3	3.8900001
